Year,Month,Vihiga,Kericho,Bomet,Tharaka,Kisumu,Nyamira,Siaya,Trans_Nzoia,Homa_Bay,Mandera,Keiyo_Marakwet,Nakuru,Lamu,Tana_River,Turkana,Marsabit,Nandi,Wajir,Embu,Kwale,Kitui,Isiolo,Garissa,Kisii,Busia,Kiambu,Murang_a,Uasin_Gishu,Samburu,Nyandarua,Migori,Kilifi,Baringo,West_Pokot,Bungoma,Kakamega,Kirinyaga,Taita_Taveta,Meru,Nairobi,Laikipia,Narok,Nyeri,Makueni,Mombasa,Kajiado,Machakos
2015,1,1.2408960219041507,1.6740569547857547,1.634296517541484,1.684670942464888,2.18208568482163,1.3636038929590373,2.2206437767139047,,,1.5403930632576512,,1.9312104107193044,1.5636030788138258,,2.0316296863995693,2.011085542159928,1.592676913445831,1.9369180803130652,1.7153516629839307,1.7727516680806652,1.509241908498299,1.978297578858096,1.7856583942086615,1.47481765065213,1.9751608629254913,1.509052823887086,,,1.596261314034622,1.7886049860744253,2.0370433617800607,1.6596416988707123,1.404325804897436,,1.672476514754379,1.4433111058440604,1.494773455419813,,1.660752647556233,1.6828964144471938,1.911622066692454,1.9399472739514256,1.4004862834078866,1.818166077733244,1.7206785223957441,2.035268053659767,2.0990669770378445
2016,1,1.359838296645708,1.477229984152,1.4348195590547421,1.6734372173859755,2.0963536202686868,1.2126223979430106,2.240767147958736,,,1.6055130571890812,,1.8389043844821318,1.5998859333504607,,2.0457593476008404,2.0219267615219505,1.3787825591273724,1.9432274144896577,1.6743201307475177,1.9096731193253556,1.5340341146762615,1.9922965835821735,1.8218473348762663,1.4902830017113455,2.0181717078897945,1.5480741220231573,,,1.622815478451829,1.7820047396110807,2.1563933139226976,1.7336612934339368,1.4373488050529992,,1.7403258205820855,1.6854173335320688,1.572738241943448,,1.6596316750027171,1.681741956783294,1.929970451601571,1.8591687634276086,1.4904785808048906,1.834433872875978,1.7844892311652667,1.9330363054988877,2.022356420593742
2017,1,1.8988369662715856,1.5107955135931155,1.6586469279502472,1.684355893267681,2.139492937982444,1.6899937866014034,2.267870928134283,,,1.6067931740467434,,1.7411127482108884,1.5761681455340286,,1.982302010485444,2.014313010378993,1.656531611104243,1.9493606790921858,1.6805365333523483,1.8871738553566517,1.5419260817148095,1.9909571281411276,1.8054385885266722,1.684677353169391,2.0508549030797845,1.5863919596031777,,,1.6132122836450233,1.7185381430307167,2.1648558511353486,1.7414255627383357,1.3407933287719125,,1.9041652993645168,1.9007593708147204,1.5403553127982152,,1.6538996881536683,1.7306784209488495,1.922898412913178,1.9682119094137875,1.4285889753158232,1.8408258057283942,1.7521522365454365,2.060178308742777,2.0633827406600918
